time,l_leg_hip_yaw_joint,l_leg_hip_roll_joint,l_leg_hip_pitch_joint,l_leg_knee_joint,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_hip_yaw_joint,r_leg_hip_roll_joint,r_leg_hip_pitch_joint,r_leg_knee_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
1.635,0.4905,0,0,0,0,0,0,0,0,0,0,0
1.64,0.492,0,0,0,0,0,0,0,0,0,0,0
1.645,0.4935,0,0,0,0,0,0,0,0,0,0,0
1.65,0.495,0,0,0,0,0,0,0,0,0,0,0
1.655,0.4965,0,0,0,0,0,0,0,0,0,0,0
1.66,0.498,0,0,0,0,0,0,0,0,0,0,0
1.665,0.4995,0,0,0,0,0,0,0,0,0,0,0
1.67,0.501,0,0,0,0,0,0,0,0,0,0,0
1.675,0.5025,0,0,0,0,0,0,0,0,0,0,0
1.68,0.504,0,0,0,0,0,0,0,0,0,0,0
1.685,0.5055,0,0,0,0,0,0,0,0,0,0,0
1.69,0.507,0,0,0,0,0,0,0,0,0,0,0
1.695,0.5085,0,0,0,0,0,0,0,0,0,0,0
1.7,0.51,0,0,0,0,0,0,0,0,0,0,0
1.705,0.5115,0,0,0,0,0,0,0,0,0,0,0
1.71,0.513,0,0,0,0,0,0,0,0,0,0,0
1.715,0.5145,0,0,0,0,0,0,0,0,0,0,0
1.72,0.516,0,0,0,0,0,0,0,0,0,0,0
1.725,0.5175,0,0,0,0,0,0,0,0,0,0,0
1.73,0.519,0,0,0,0,0,0,0,0,0,0,0
1.735,0.5205,0,0,0,0,0,0,0,0,0,0,0
1.74,0.522,0,0,0,0,0,0,0,0,0,0,0
1.745,0.5235,0,0,0,0,0,0,0,0,0,0,0
1.75,0.525,0,0,0,0,0,0,0,0,0,0,0
1.755,0.5265,0,0,0,0,0,0,0,0,0,0,0
1.76,0.528,0,0,0,0,0,0,0,0,0,0,0
1.765,0.5295,0,0,0,0,0,0,0,0,0,0,0
1.77,0.531,0,0,0,0,0,0,0,0,0,0,0
1.775,0.5325,0,0,0,0,0,0,0,0,0,0,0
1.78,0.534,0,0,0,0,0,0,0,0,0,0,0
1.785,0.5355,0,0,0,0,0,0,0,0,0,0,0
1.79,0.537,0,0,0,0,0,0,0,0,0,0,0
1.795,0.5385,0,0,0,0,0,0,0,0,0,0,0
1.8,0.54,0,0,0,0,0,0,0,0,0,0,0
1.805,0.5415,0,0,0,0,0,0,0,0,0,0,0
1.81,0.543,0,0,0,0,0,0,0,0,0,0,0
1.815,0.5445,0,0,0,0,0,0,0,0,0,0,0
1.82,0.546,0,0,0,0,0,0,0,0,0,0,0
1.825,0.5475,0,0,0,0,0,0,0,0,0,0,0
1.83,0.549,0,0,0,0,0,0,0,0,0,0,0
1.835,0.5475,0,0,0,0,0,0,0,0,0,0,0
1.84,0.546,0,0,0,0,0,0,0,0,0,0,0
1.845,0.5445,0,0,0,0,0,0,0,0,0,0,0
1.85,0.543,0,0,0,0,0,0,0,0,0,0,0
1.855,0.5415,0,0,0,0,0,0,0,0,0,0,0
1.86,0.54,0,0,0,0,0,0,0,0,0,0,0
1.865,0.5385,0,0,0,0,0,0,0,0,0,0,0
1.87,0.537,0,0,0,0,0,0,0,0,0,0,0
1.875,0.5355,0,0,0,0,0,0,0,0,0,0,0
1.88,0.534,0,0,0,0,0,0,0,0,0,0,0
1.885,0.5325,0,0,0,0,0,0,0,0,0,0,0
1.89,0.531,0,0,0,0,0,0,0,0,0,0,0
1.895,0.5295,0,0,0,0,0,0,0,0,0,0,0
1.9,0.528,0,0,0,0,0,0,0,0,0,0,0
1.905,0.5265,0,0,0,0,0,0,0,0,0,0,0
1.91,0.525,0,0,0,0,0,0,0,0,0,0,0
1.915,0.5235,0,0,0,0,0,0,0,0,0,0,0
1.92,0.522,0,0,0,0,0,0,0,0,0,0,0
1.925,0.5205,0,0,0,0,0,0,0,0,0,0,0
1.93,0.519,0,0,0,0,0,0,0,0,0,0,0
1.935,0.5175,0,0,0,0,0,0,0,0,0,0,0
1.94,0.516,0,0,0,0,0,0,0,0,0,0,0
1.945,0.5145,0,0,0,0,0,0,0,0,0,0,0
1.95,0.513,0,0,0,0,0,0,0,0,0,0,0
1.955,0.5115,0,0,0,0,0,0,0,0,0,0,0
1.96,0.51,0,0,0,0,0,0,0,0,0,0,0
1.965,0.5085,0,0,0,0,0,0,0,0,0,0,0
1.97,0.507,0,0,0,0,0,0,0,0,0,0,0
1.975,0.5055,0,0,0,0,0,0,0,0,0,0,0
1.98,0.504,0,0,0,0,0,0,0,0,0,0,0
1.985,0.5025,0,0,0,0,0,0,0,0,0,0,0
1.99,0.501,0,0,0,0,0,0,0,0,0,0,0
1.995,0.4995,0,0,0,0,0,0,0,0,0,0,0
2,0.498,0,0,0,0,0,0,0,0,0,0,0
2.005,0.4965,0,0,0,0,0,0,0,0,0,0,0
2.01,0.495,0,0,0,0,0,0,0,0,0,0,0
2.015,0.4935,0,0,0,0,0,0,0,0,0,0,0
2.02,0.492,0,0,0,0,0,0,0,0,0,0,0
2.025,0.4905,0,0,0,0,0,0,0,0,0,0,0
2.03,0.489,0,0,0,0,0,0,0,0,0,0,0
2.035,0.4875,0,0,0,0,0,0,0,0,0,0,0
2.04,0.486,0,0,0,0,0,0,0,0,0,0,0
2.045,0.4845,0,0,0,0,0,0,0,0,0,0,0
2.05,0.483,0,0,0,0,0,0,0,0,0,0,0
2.055,0.4815,0,0,0,0,0,0,0,0,0,0,0
2.06,0.48,0,0,0,0,0,0,0,0,0,0,0
2.065,0.4785,0,0,0,0,0,0,0,0,0,0,0
2.07,0.477,0,0,0,0,0,0,0,0,0,0,0
2.075,0.4755,0,0,0,0,0,0,0,0,0,0,0
2.08,0.474,0,0,0,0,0,0,0,0,0,0,0
2.085,0.4725,0,0,0,0,0,0,0,0,0,0,0
2.09,0.471,0,0,0,0,0,0,0,0,0,0,0
2.095,0.4695,0,0,0,0,0,0,0,0,0,0,0
2.1,0.468,0,0,0,0,0,0,0,0,0,0,0
2.105,0.4665,0,0,0,0,0,0,0,0,0,0,0
2.11,0.465,0,0,0,0,0,0,0,0,0,0,0
2.115,0.4635,0,0,0,0,0,0,0,0,0,0,0
2.12,0.462,0,0,0,0,0,0,0,0,0,0,0
